Original,Character,Dialogue,Wordcount
Keiss:Not really. I just want to know more about it.,Keiss, Not really. I just want to know more about it.,9
"Keiss:I've got to see the outside with my own eyes, y'know?",Keiss," I've got to see the outside with my own eyes, y'know?",10
"Fang:Quite the earnest adventurer, aren't ya?",Fang," Quite the earnest adventurer, aren't ya?",5
"Keiss:Is it really that strange to go exploring? The people back home thought it was too, but...",Keiss," Is it really that strange to go exploring? The people back home thought it was too, but...",16
Keiss:You'll never learn about the outside world by staying in one place.,Keiss, You'll never learn about the outside world by staying in one place.,11
Fran:Some things you learn only by leaving homethings you cannot learn through rumors alone.,Fran, Some things you learn only by leaving home—things you cannot learn through rumors alone.,13
Keiss:Glad it turned out to be a false alarm! There are plenty of things you just have to see with your own eyes.,Keiss, Glad it turned out to be a false alarm! There are plenty of things you just have to see with your own eyes.,22
"Eiko:You didn't think the outside world was scary, Keiss? I know I did...",Eiko," You didn't think the outside world was scary, Keiss? I know I did...",12
"Keiss:I definitely felt more at ease at home with other Selkies, but you'll get left behind if you never leave the nest.",Keiss," I definitely felt more at ease at home with other Selkies, but you'll get left behind if you never leave the nest.",21
Eiko:Left behind? By who?,Eiko, Left behind? By who?,3
Keiss:The rest of the world.,Keiss, The rest of the world.,4
Keiss:I hated the Lilty for what they did to the Selkie. We got left behind and struggled just to survive.,Keiss, I hated the Lilty for what they did to the Selkie. We got left behind and struggled just to survive.,19
Fran:You wished to reclaim your pride.,Fran, You wished to reclaim your pride.,5
Noct:Then you've got no choice but to fight.,Noct, Then you've got no choice but to fight.,7
Eiko:So that's why you left home!,Eiko, So that's why you left home!,5
Sabin:You faced any fears you may have had to claim what you desired.,Sabin, You faced any fears you may have had to claim what you desired.,12
"Fran:Even you left home for something you wanted, no?",Fran," Even you left home for something you wanted, no?",8
"Eiko:...Right. I wasn't sure what to do at first, but I really wanted to go with Zidane and the others.",Eiko," ...Right. I wasn't sure what to do at first, but I really wanted to go with Zidane and the others.",19
Keiss:Then you and I are the same. We both wanted to know more about the outside world.,Keiss, Then you and I are the same. We both wanted to know more about the outside world.,16
"Keiss:The world is always changing, so it's important to know what's going on.",Keiss," The world is always changing, so it's important to know what's going on.",12
Keiss:So I'll ask one more time: I'm going to have a look around. Does anyone want to join,Keiss, So I'll ask one more time I'm going to have a look around. Does anyone want to join—,17
"Eiko:Come on, Keiss! Let's go!",Eiko," Come on, Keiss! Let's go!",4
Fang:Hurry up now. Wouldn't want you getting lost on my watch.,Fang, Hurry up now. Wouldn't want you getting lost on my watch.,10
"Keiss:This is way more people than I expected, but I'm not complaining.",Keiss," This is way more people than I expected, but I'm not complaining.",11
Kam'lanaut:...Have you been waiting here for me?,Kam'lanaut, ...Have you been waiting here for me?,6
Eald'narche:You needn't be so wary of me. I merely want you to pass my dimensional coordinates onto Materia's warriors.,Eald'narche, You needn't be so wary of me. I merely want you to pass my dimensional coordinates onto Materia's warriors.,18
"Eald'narche:Since you're traveling with them, it should be no problem. Right?",Eald'narche," Since you're traveling with them, it should be no problem. Right?",10
Kam'lanaut:I wonder. It's not as if we trust each other.,Kam'lanaut, I wonder. It's not as if we trust each other.,9
Eald'narche:That matters not. I'm sure they'll take it.,Eald'narche, That matters not. I'm sure they'll take it.,7
"Eald'narche:...You think I want to see things for myself, don't you?",Eald'narche," ...You think I want to see things for myself, don't you?",10
"Eald'narche:You're right, but make no mistake. That is but a means to an end.",Eald'narche," You're right, but make no mistake. That is but a means to an end.",13
Eald'narche:To undo the failures of the past and make the right choices to obtain the future.,Eald'narche, To undo the failures of the past and make the right choices to obtain the future.,15
Kam'lanaut:What are you talking about?,Kam'lanaut, What are you talking about?,4
"Eald'narche:By using the principles of this world, I may be able to settle that time I cast you aside.",Eald'narche," By using the principles of this world, I may be able to settle that time I cast you aside.",18
Kam'lanaut:...What nonsense. The past cannot be changed.,Kam'lanaut, ...What nonsense. The past cannot be changed.,6
Eald'narche:Think what you want. I suppose arguing here was inevitable.,Eald'narche, Think what you want. I suppose arguing here was inevitable.,9
Eald'narche:Give them my coordinates. Understood?,Eald'narche, Give them my coordinates. Understood?,4
Kam'lanaut:Just what is he scheming...?,Kam'lanaut, Just what is he scheming...?,4
Kam'lanaut:Hmph... I suppose I'll do what he asks for now.,Kam'lanaut, Hmph... I suppose I'll do what he asks for now.,9
Kam'lanaut:I need only discern what to do once handing them these coordinates...,Kam'lanaut, I need only discern what to do once handing them these coordinates...,11
Kam'lanaut:You worms need only listen.,Kam'lanaut, You worms need only listen.,4
Sabin:Listen to what?,Sabin, Listen to what?,2
Kam'lanaut:Take these.,Kam'lanaut, Take these.,1
"Mog:Dimensional coordinates, kupo!?",Mog," Dimensional coordinates, kupo!?",2
"Firion:But we've already got yours, Kam'lanaut.",Firion," But we've already got yours, Kam'lanaut.",5
Mog:...These aren't Kam'lanaut's. They're Eald'narche's!,Mog, ...These aren't Kam'lanaut's. They're Eald'narche's!,4
Sabin:Eald'narche!? You mean the one you betrayed...?,Sabin, Eald'narche!? You mean the one you betrayed...?,6
Kam'lanaut:He betrayed me first. And he asked me to give you those.,Kam'lanaut, He betrayed me first. And he asked me to give you those.,11
Kam'lanaut:Use them as you see fit. It is no concern of mine.,Kam'lanaut, Use them as you see fit. It is no concern of mine.,11
Firion:What is Eald'narche thinking...?,Firion, What is Eald'narche thinking...?,3
Kam'lanaut:He saw me lending you a hand...and decided to cooperate.,Kam'lanaut, He saw me lending you a hand...and decided to cooperate.,9
Sabin:Does he want to help for the same reason as you? To understand our motivations?,Sabin, Does he want to help for the same reason as you? To understand our motivations?,14
Kam'lanaut:You have a praiseworthy memory for a primate. Now you two can use each other.,Kam'lanaut, You have a praiseworthy memory for a primate. Now you two can use each other.,14
Kam'lanaut:His strength is absolute. He will no doubt be a worthy comrade in battle.,Kam'lanaut, His strength is absolute. He will no doubt be a worthy comrade in battle.,13
Firion:But we can't trust him!,Firion, But we can't trust him!,4
Kam'lanaut:Trust... Hmph. There is a chance he'll throw you away as easily as he did me.,Kam'lanaut, Trust... Hmph. There is a chance he'll throw you away as easily as he did me.,15
"Kam'lanaut:But for a moment, see how the scales balance.",Kam'lanaut," But for a moment, see how the scales balance.",8
Kam'lanaut:A great power like Eald'narche's against fragile sentiments like trust...,Kam'lanaut, A great power like Eald'narche's against fragile sentiments like trust...,9
Kam'lanaut:Which will be more beneficial to you in the end?,Kam'lanaut, Which will be more beneficial to you in the end?,9
"Firion:...Could it be he can't trust him, either?",Firion," ...Could it be he can't trust him, either?",7
"Sabin:Let's talk with the others, Mog.",Sabin," Let's talk with the others, Mog.",5
"Mog:Right... We can't decide this on our own, kupo.",Mog," Right... We can't decide this on our own, kupo.",8
Eald'narche:So you didn't throw my coordinates away. Perhaps you fools are worthy of being saved after all.,Eald'narche, So you didn't throw my coordinates away. Perhaps you fools are worthy of being saved after all.,16
"Lion:We don't need your saving, thanks.",Lion," We don't need your saving, thanks.",5
Eald'narche:No matter. I did not come here to discuss something so pedantic.,Eald'narche, No matter. I did not come here to discuss something so pedantic.,11
Eald'narche:I will be your ally. It will be to our mutual benefit.,Eald'narche, I will be your ally. It will be to our mutual benefit.,11
Quistis:What made you change your mind? I thought we were enemies.,Quistis, What made you change your mind? I thought we were enemies.,10
Eald'narche:Enemies...? I was merely cleaning up my brother's mess.,Eald'narche, Enemies...? I was merely cleaning up my brother's mess.,8
Eald'narche:One cannot create a fake Paradise. There was no need to make things worse than they were.,Eald'narche, One cannot create a fake Paradise. There was no need to make things worse than they were.,16
"Eald'narche:As a result, we became enemies. That's all there is to it.",Eald'narche," As a result, we became enemies. That's all there is to it.",11
"Edge:You want us to believe you, even though you tried to destroy Lion's world!?",Edge," You want us to believe you, even though you tried to destroy Lion's world!?",13
Eald'narche:Destroy? I was trying to make a paradise for the chosen. It's the same as the gods of this world.,Eald'narche, Destroy? I was trying to make a paradise for the chosen. It's the same as the gods of this world.,19
Lion:The same? How...?,Lion, The same? How...?,2
"Eald'narche:Then tell me: what's different? Not that I expect us to understand each other, but...",Eald'narche," Then tell me what's different? Not that I expect us to understand each other, but...",14
"Eald'narche:Our goal is the same, isn't it?",Eald'narche," Our goal is the same, isn't it?",6
Quistis:Goal? What do you mean?,Quistis, Goal? What do you mean?,4
"Eald'narche:By using the principles of this world, we may be able to return to our respective homes without the help of the gods.",Eald'narche," By using the principles of this world, we may be able to return to our respective homes without the help of the gods.",22
"Kam'lanaut:(To fix the past, we must return to our world. I should have known Eald'narche would think that far ahead.)",Kam'lanaut," (To fix the past, we must return to our world. I should have known Eald'narche would think that far ahead.)",19
"Eald'narche:To that end, it became necessary for me to see things through your eyes.",Eald'narche," To that end, it became necessary for me to see things through your eyes.",13
"Eald'narche:Returning home is your goal, is it not?",Eald'narche," Returning home is your goal, is it not?",7
Eald'narche:So adding me to your ranks helps us both. Don't you agree?,Eald'narche, So adding me to your ranks helps us both. Don't you agree?,11
Lion:...Just because we have the same goal doesn't mean I'll work with you.,Lion, ...Just because we have the same goal doesn't mean I'll work with you.,12
"Eald'narche:How annoying... All I did was rid the world of its scum, and yet you say that!?",Eald'narche," How annoying... All I did was rid the world of its scum, and yet you say that!?",16
"Eald'narche:As long as you have value to me, I won't harm you. You can share in the profits of others.",Eald'narche," As long as you have value to me, I won't harm you. You can share in the profits of others.",19
Eald'narche:To simplify for you fools: I will let you know once I figure out a way to return to our home worlds.,Eald'narche, To simplify for you fools I will let you know once I figure out a way to return to our home worlds.,21
"Eald'narche:...You won't be won over, you say? How about you? Your heart seems to be wavering.",Eald'narche," ...You won't be won over, you say? How about you? Your heart seems to be wavering.",15
"Edge:That's true, but...I won't be so easily drawn in by you!",Edge," That's true, but...I won't be so easily drawn in by you!",10
Quistis:Exactly. There's too great a risk in making you our ally.,Quistis, Exactly. There's too great a risk in making you our ally.,10
Eald'narche:...Hmph. Very well then.,Eald'narche, ...Hmph. Very well then.,3
Eald'narche:Let me tell you something interesting. Something Kam'lanaut hasn't even heard...,Eald'narche, Let me tell you something interesting. Something Kam'lanaut hasn't even heard...,10
Eald'narche:There are some perculiar things occurring in this world.,Eald'narche, There are some perculiar things occurring in this world.,8
Eald'narche:Those who have died in our home worlds can be brought back here.,Eald'narche, Those who have died in our home worlds can be brought back here.,12
Eald'narche:The time you'd wish to return to varies before and after reclaiming your brilliance.,Eald'narche, The time you'd wish to return to varies before and after reclaiming your brilliance.,13
"Eald'narche:Do you not think it strange? If we return to our original worlds, when do you think we will go back to?",Eald'narche," Do you not think it strange? If we return to our original worlds, when do you think we will go back to?",21
Chelinka:You don't mean...,Chelinka, You don't mean...,2
Yuri:We might be able to return to whatever time we want?,Yuri, We might be able to return to whatever time we want?,10
Galuf:Is that possible!?,Galuf, Is that possible!?,2
"Eald'narche:How perceptive of you. In this hypothesis, we can fix the mistakes of our past.",Eald'narche," How perceptive of you. In this hypothesis, we can fix the mistakes of our past.",14
Kam'lanaut:(I see... So one could both return home and start over.),Kam'lanaut, (I see... So one could both return home and start over.),10
"Lion:I understand what you're thinking, but...we'll still stop you no matter how many times you try!",Lion," I understand what you're thinking, but...we'll still stop you no matter how many times you try!",15
"Yuri:Wait, Lion. I don't think that's it...",Yuri," Wait, Lion. I don't think that's it...",6
"Yuri:If you go back home, you two might not have to fight. You'll return to different worlds.",Yuri," If you go back home, you two might not have to fight. You'll return to different worlds.",16
"Eald'narche:...I see. I thought you knew something, but you speak from experience.",Eald'narche," ...I see. I thought you knew something, but you speak from experience.",11
"Eald'narche:Thanks to which, I have confirmed my hypothesis.",Eald'narche," Thanks to which, I have confirmed my hypothesis.",7
Eald'narche:It is as he says. To put it in simpleton's terms: there will be parallel worlds.,Eald'narche, It is as he says. To put it in simpleton's terms there will be parallel worlds.,15
Eald'narche:You will each be given a fair chance to fix your past mistakes.,Eald'narche, You will each be given a fair chance to fix your past mistakes.,12
Eald'narche:What do you think?,Eald'narche, What do you think?,3
"Chelinka:But if you go back to that world, will you still hurt lots of people?",Chelinka," But if you go back to that world, will you still hurt lots of people?",14
Eald'narche:And if I do?,Eald'narche, And if I do?,3
"Eald'narche:...I see. We could not be allies, then. Despite how much I've explained...",Eald'narche," ...I see. We could not be allies, then. Despite how much I've explained...",12
"Lion:If you can read our minds, you understand. We don't need your power.",Lion," If you can read our minds, you understand. We don't need your power.",12
Eald'narche:I know. But your understanding is pitifully shallow.,Eald'narche, I know. But your understanding is pitifully shallow.,7
Eald'narche:You've been so focused on me that you haven't noticed the benefits for yourselves.,Eald'narche, You've been so focused on me that you haven't noticed the benefits for yourselves.,13
"Lion:There's nothing I want to fix in my past. No matter what it is, it's made me who I am today.",Lion," There's nothing I want to fix in my past. No matter what it is, it's made me who I am today.",20
Eald'narche:I wasn't talking about you. Or have you forgotten since coming here?,Eald'narche, I wasn't talking about you. Or have you forgotten since coming here?,11
"Eald'narche:If you do as I say, those who should have perished can still live.",Eald'narche," If you do as I say, those who should have perished can still live.",13
Ignis:...Do not underestimate us.,Ignis, ...Do not underestimate us.,3
Eald'narche:Ahaha! Those eyes!,Eald'narche, Ahaha! Those eyes!,2
Eald'narche:But what about the others? If they knew of the possibility...,Eald'narche, But what about the others? If they knew of the possibility...,10
Eald'narche:I welcome you at any time. We can work together for a better future.,Eald'narche, I welcome you at any time. We can work together for a better future.,13
"Lion:If we can prevent some from dying, I want to save them, but...",Lion," If we can prevent some from dying, I want to save them, but...",12
Ignis:No. It's as you said. Everything in our pasts has made us who we are.,Ignis, No. It's as you said. Everything in our pasts has made us who we are.,14
"Lion:I thought about throwing away his coordinates, but...it wouldn't change anything.",Lion," I thought about throwing away his coordinates, but...it wouldn't change anything.",10
Lion:And I can't just leave them here. Maybe I'll give them to Mog until my heart is ready...,Lion, And I can't just leave them here. Maybe I'll give them to Mog until my heart is ready...,17
Yuri:I think you should do what you want. Don't think you have to shoulder this alone.,Yuri, I think you should do what you want. Don't think you have to shoulder this alone.,15
"Chelinka:I understand a little of how Eald'narche feels... But if lots of sacrifices need to be made, I'll do whatever it takes to stop him.",Chelinka," I understand a little of how Eald'narche feels... But if lots of sacrifices need to be made, I'll do whatever it takes to stop him.",24
"Lion:Yeah... Thank you, everyone.",Lion," Yeah... Thank you, everyone.",3
Kam'lanaut:Do you really intend to do things over?,Kam'lanaut, Do you really intend to do things over?,7
"Eald'narche:Of course. And this time, everything will go according to plan.",Eald'narche," Of course. And this time, everything will go according to plan.",10
"Eald'narche:You understand what you must do, don't you? Do not betray my expectations.",Eald'narche," You understand what you must do, don't you? Do not betray my expectations.",12
Kam'lanaut:So that we do not fail this time...?,Kam'lanaut, So that we do not fail this time...?,7
Eald'narche:What boring opponents.,Eald'narche, What boring opponents.,2
Yuna:Thank you...for helping us.,Yuna, Thank you...for helping us.,3
Eald'narche:Don't thank me if you don't mean it. Empty gestures disgust me.,Eald'narche, Don't thank me if you don't mean it. Empty gestures disgust me.,11
Eald'narche:Why thank me if you don't believe you can trust me? Or if you only think I helped you out of self-interest?,Eald'narche, Why thank me if you don't believe you can trust me? Or if you only think I helped you out of self-interest?,21
Yuna:I... Uh...,Yuna, I... Uh...,1
Edgar:Don't you think it's a little rude to be reading people's thoughts without telling them?,Edgar, Don't you think it's a little rude to be reading people's thoughts without telling them?,14
Eald'narche:And it's considered polite not to say what you mean? I have no interest in false friends.,Eald'narche, And it's considered polite not to say what you mean? I have no interest in false friends.,16
"Edgar:Don't take it personally, Yuna. Some people are just...rough around the edges.",Edgar," Don't take it personally, Yuna. Some people are just...rough around the edges.",11
"Lion:I know you like to try your best to put everyone at ease, but there's nothing to be done with Eald'narche.",Lion," I know you like to try your best to put everyone at ease, but there's nothing to be done with Eald'narche.",20
"Basch:He might've been the one to come to us, but that doesn't mean we have to trust each other.",Basch," He might've been the one to come to us, but that doesn't mean we have to trust each other.",18
Yuna:I just wanted to make him feel welcomed.,Yuna, I just wanted to make him feel welcomed.,7
Yuna:But I could feel the way he looked down on us and just couldn't do it...,Yuna, But I could feel the way he looked down on us and just couldn't do it...,15
Yuna:I'm sure he was able to sense that feeling too.,Yuna, I'm sure he was able to sense that feeling too.,9
Lion:We'll have to be satisfied with the fact that he cooperated with us at all. It's not like Spiritus's warriors are clamoring to help us out.,Lion, We'll have to be satisfied with the fact that he cooperated with us at all. It's not like Spiritus's warriors are clamoring to help us out.,25
Lion:Just imagine if it were Seymour instead. Would you still want to make him feel welcome?,Lion, Just imagine if it were Seymour instead. Would you still want to make him feel welcome?,15
Yuna:Hmm... I see your point.,Yuna, Hmm... I see your point.,4
Edgar:He joined up with us because he's looking for a way back to his world. We don't need to expect anything else from him.,Edgar, He joined up with us because he's looking for a way back to his world. We don't need to expect anything else from him.,23
"Edgar:He might have information we can use, and we might have information he can use. It's better than being enemies.",Edgar," He might have information we can use, and we might have information he can use. It's better than being enemies.",19
"Basch:It certainly is... However, it doesn't seem he has much in common with Kam'lanaut.",Basch," It certainly is... However, it doesn't seem he has much in common with Kam'lanaut.",13
"Yuna:Even though they're brothers, or so they say. Judging by how they treat each other, you'd never guess.",Yuna," Even though they're brothers, or so they say. Judging by how they treat each other, you'd never guess.",17
Edgar:Take it from me: siblingseven twins have their differences as much as anyone else.,Edgar, Take it from me siblings—even twins— have their differences as much as anyone else.,13
"Edgar:But even so, those two are different. There's not an ounce of brotherhood between them.",Edgar," But even so, those two are different. There's not an ounce of brotherhood between them.",14
Lion:Indeed. I have no doubt Eald'narche would do anything to achieve his goals. Even in this world.,Lion, Indeed. I have no doubt Eald'narche would do anything to achieve his goals. Even in this world.,16
"Basch:Kam'lanaut claimed to have trusted him, but I wonder what he believes now. Once broken, trust cannot easily be mended.",Basch," Kam'lanaut claimed to have trusted him, but I wonder what he believes now. Once broken, trust cannot easily be mended.",19
Yuna:It must be frightening to even consider trusting someone who has betrayed you before.,Yuna, It must be frightening to even consider trusting someone who has betrayed you before.,13
Basch:And doubly so with someone who possesses such an uncanny ability. Even your slightest vulnerability can be laid bare.,Basch, And doubly so with someone who possesses such an uncanny ability. Even your slightest vulnerability can be laid bare.,18
Lion:That's right. I can understand why Kam'lanaut would be worried.,Lion, That's right. I can understand why Kam'lanaut would be worried.,9
Edgar:I can't imagine what it'd be like to have a sibling you couldn't trust...,Edgar, I can't imagine what it'd be like to have a sibling you couldn't trust...,13
"Edgar:But then again, I'm not inclined toward evil acts. To them, trying to see eye to eye is probably more trouble than it's worth.",Edgar," But then again, I'm not inclined toward evil acts. To them, trying to see eye to eye is probably more trouble than it's worth.",23
"Yuna:I suppose they're a special case... I guess I shouldn't let it get to me. I have you guys to worry about, after all!",Yuna," I suppose they're a special case... I guess I shouldn't let it get to me. I have you guys to worry about, after all!",23
"Basch:Indeed. The stronger our bonds, the harder it will be for Eald'narche to find and exploit a weak link between us.",Basch," Indeed. The stronger our bonds, the harder it will be for Eald'narche to find and exploit a weak link between us.",20
"Lion:I agree, but I don't think we have much to worry about. If he tries something funny, he won't stand a chance against us!",Lion," I agree, but I don't think we have much to worry about. If he tries something funny, he won't stand a chance against us!",23
"Lion:As long as we trust each other, there's nothing we can't stand against.",Lion," As long as we trust each other, there's nothing we can't stand against.",12
Warrior of Light:We've made contact with one of Spiritus's warriors. They've asked to join forces for the fights ahead.,Warrior of Light, We've made contact with one of Spiritus's warriors. They've asked to join forces for the fights ahead.,16
Materia:You speak of Eald'narche.,Materia, You speak of Eald'narche.,3
Onion Knight:So you know about him already. Good. We don't have to waste time explaining.,Onion Knight, So you know about him already. Good. We don't have to waste time explaining.,13
Onion Knight:Something was off. I think he's up to something.,Onion Knight, Something was off. I think he's up to something.,8
"Onion Knight:He wants to know more about how this world works, and it seemed like he had it in mind to come visit you.",Onion Knight," He wants to know more about how this world works, and it seemed like he had it in mind to come visit you.",22
"Warrior of Light:If his intention is nefarious, we will protect you.",Warrior of Light," If his intention is nefarious, we will protect you.",8
"Materia:Thank you, my warriors. Having you by my side sets my heart at ease. However...",Materia," Thank you, my warriors. Having you by my side sets my heart at ease. However...",14
"Materia:Lest you forget, I am a god. You needn't worry about me so much.",Materia," Lest you forget, I am a god. You needn't worry about me so much.",13
Onion Knight:Don't forget what happenedlast time! I don't ever want to feel so powerless again.,Onion Knight, Don't forget what happened last time! I don't ever want to feel so powerless again.,13
Materia:You are too kind.,Materia, You are too kind.,3
"Materia:With guardians such as you, I have nothing to fear. Can I depend on you to come to my aid, if Mog summons you?",Materia," With guardians such as you, I have nothing to fear. Can I depend on you to come to my aid, if Mog summons you?",23
Warrior of Light:Of course. There is no task too great.,Warrior of Light, Of course. There is no task too great.,7
Materia:Thank you. I feel safer just hearing it.,Materia, Thank you. I feel safer just hearing it.,7
"Cecil:There's no way for me to know. I doubt Eald'narche knows for certain either, for all his confidence.",Cecil," There's no way for me to know. I doubt Eald'narche knows for certain either, for all his confidence.",17
"Cecil:Even if there were a way, it requires power beyond even his. I suspect that's why he came to us.",Cecil," Even if there were a way, it requires power beyond even his. I suspect that's why he came to us.",19
Firion:Wonder if he's taking advantage of us...,Firion, Wonder if he's taking advantage of us...,6
Cecil:I doubt he has any interest in us personally. He wants to get close to someone elsesomeone who knows much of the way of the world.,Cecil, I doubt he has any interest in us personally. He wants to get close to someone else—someone who knows much of the way of the world.,25
Firion:You mean...Materia!?,Firion, You mean...Materia!?,1
Onion Knight:We had that same thought. So we checked up on her.,Onion Knight, We had that same thought. So we checked up on her.,10
Firion:Why am I not surprised? Should've known you'd have a hunch.,Firion, Why am I not surprised? Should've known you'd have a hunch.,10
"Onion Knight:Heh. Well, I guess I'm just that good.",Onion Knight," Heh. Well, I guess I'm just that good.",7
Cecil:How was she? Did anything seem odd with her?,Cecil, How was she? Did anything seem odd with her?,8
Warrior of Light:Not as of yet. She said she would summon us the moment something seemed amiss.,Warrior of Light, Not as of yet. She said she would summon us the moment something seemed amiss.,14
"Cecil:Thank you. She is our guiding light, and we must keep her safe.",Cecil," Thank you. She is our guiding light, and we must keep her safe.",12
"Onion Knight:We need to be careful. We don't know where or when our enemies will strike, but we'll be ready with both eyes open.",Onion Knight," We need to be careful. We don't know where or when our enemies will strike, but we'll be ready with both eyes open.",22
Onion Knight:I'll do whatever needs to be done.,Onion Knight, I'll do whatever needs to be done.,6
Warrior of Light:The dimensional coordinates give them many avenues to approach from. We must be vigilant.,Warrior of Light, The dimensional coordinates give them many avenues to approach from. We must be vigilant.,13
"Warrior of Light:I won't let the past repeat itselfnot ever. Materia must be protected, at all costs.",Warrior of Light," I won't let the past repeat itself—not ever. Materia must be protected, at all costs.",14
"Eald'narche:Hmph. That one's quite full of himself, isn't he? Regardless, he's told me what I need to know.",Eald'narche," Hmph. That one's quite full of himself, isn't he? Regardless, he's told me what I need to know.",17
"Eald'narche:The two gods are the pillars of this world. If they disappear, it will begin to crumble.",Eald'narche," The two gods are the pillars of this world. If they disappear, it will begin to crumble.",16
"Eald'narche:Such an easy target, if not for their meddling. How troublesome.",Eald'narche," Such an easy target, if not for their meddling. How troublesome.",10
"Eald'narche:It doesn't matter, I suppose. Another chance will present itself before long.",Eald'narche," It doesn't matter, I suppose. Another chance will present itself before long.",11
???:Or could it be...that I was spared? Me alone?,???, Or could it be...that I was spared? Me alone?,8
"???:Ace, Cater, Cinque, King... Could it be that, while I remain, they",???," Ace, Cater, Cinque, King... Could it be that, while I remain, they—",11
???:No. That simply can't be.,???, No. That simply can't be.,4
???:I have retained my memories of them. It then stands to reason that they are still alive and well.,???, I have retained my memories of them. It then stands to reason that they are still alive and well.,18
"???:...No, I mustn't jump to conlcusions. I need to remain calm and consider all possible situations.",???," ...No, I mustn't jump to conlcusions. I need to remain calm and consider all possible situations.",15
???:Perhaps this means that the crystal itself is gone. But is such a thing even possible?,???, Perhaps this means that the crystal itself is gone. But is such a thing even possible?,15
???:...Not that anyone is here to answer me. How terribly lonesome this place is...,???, ...Not that anyone is here to answer me. How terribly lonesome this place is...,13
"???:At any rate, I will suppose that I am alive and shall set out to find the others.",???," At any rate, I will suppose that I am alive and shall set out to find the others.",17
"Materia:It seems you've awoken, Trey.",Materia," It seems you've awoken, Trey.",4
Trey:Excuse me?,Trey, Excuse me?,1
"Trey:My apologies, but...who are you?",Trey," My apologies, but...who are you?",4
"Materia:I am Materia, one of two gods governing this world.",Materia," I am Materia, one of two gods governing this world.",9
Trey:A god named Materia?,Trey, A god named Materia?,3
Trey:I regret to inform you that I've never once come upon such a name in the countless books I've read.,Trey, I regret to inform you that I've never once come upon such a name in the countless books I've read.,19
Materia:This is a world different from the one you are from.,Materia, This is a world different from the one you are from.,10
Materia:Allow me to tell you about this place and the reason you're here now...,Materia, Allow me to tell you about this place and the reason you're here now...,13
"Vivi:I... I'm really sorry, Mog...",Vivi," I... I'm really sorry, Mog...",4
Tifa:Did something happen?,Tifa, Did something happen?,2
"Zidane:They're Mog's favorite, aren't they?",Zidane," They're Mog's favorite, aren't they?",4
Tifa:It must be quite a shock to have him looking so sad...,Tifa, It must be quite a shock to have him looking so sad...,11
"Zidane:Then let's turn back! We can ask the others to be on the lookout, too!",Zidane," Then let's turn back! We can ask the others to be on the lookout, too!",14
"Vivi:Really, Zidane!?",Vivi," Really, Zidane!?",1
"Mog:Thank you, thank you, thank you, kupo! You're my hero, Zidane!",Mog," Thank you, thank you, thank you, kupo! You're my hero, Zidane!",10
Tifa:I really hope we can find those kupo nuts...,Tifa, I really hope we can find those kupo nuts...,8
Trey:How utterly shocking. To know that every world's very existence now hangs in the balance...,Trey, How utterly shocking. To know that every world's very existence now hangs in the balance...,14
"Trey:And that not just myself, but warriors from other worlds were summoned for this purpose...",Trey," And that not just myself, but warriors from other worlds were summoned for this purpose...",14
Trey:What could that be...,Trey, What could that be...,3
Trey:Nuts? I wonder why they would be amongst all this rubble...,Trey, Nuts? I wonder why they would be amongst all this rubble...,10
"Mog:Found 'em, kupooo!",Mog," Found 'em, kupooo!",2
"Mog:Those are my prized kupo nuts! Thank you for finding them, kupo!",Mog," Those are my prized kupo nuts! Thank you for finding them, kupo!",11
Trey:...You are most welcome.,Trey, ...You are most welcome.,3
Vivi:I'm so happy we found them!,Vivi, I'm so happy we found them!,5
"Cait Sith:Well, we can check that off the list now!",Cait Sith," Well, we can check that off the list now!",8
"Trey:Hmm... From your appearance, I gather you are warriors from other worlds.",Trey," Hmm... From your appearance, I gather you are warriors from other worlds.",11
Vivi:Huh? Your clothes...,Vivi, Huh? Your clothes...,2
Vivi:Could you be a friend of Mister Ace and the others?,Vivi, Could you be a friend of Mister Ace and the others?,10
Trey:So you know my classmates?,Trey, So you know my classmates?,4
"Mog:Of course, kupo! We've been traveling together for a while now!",Mog," Of course, kupo! We've been traveling together for a while now!",10
Trey:So they're alive after all. What a relief...,Trey, So they're alive after all. What a relief...,7
Trey:How rude of me. Please call me Trey. I am a member ofClass ZerofromAkademeiain theDominion of Rubrum.,Trey, How rude of me. Please call me Trey. I am a member of Class Zero from Akademeia in the Dominion of Rubrum.,16
"Trey:But I suppose I am getting ahead of myself. According to legend,Agitoare meant to be the saviors of our world,Orience...",Trey," But I suppose I am getting ahead of myself. According to legend, Agito are meant to be the saviors of our world, Orience...",19
Mog:K-kupo? What's he going on about?,Mog, K-kupo? What's he going on about?,5
"Cait Sith:Not sure, but he seems pretty enthusiastic about it. Let's hear him out.",Cait Sith," Not sure, but he seems pretty enthusiastic about it. Let's hear him out.",12
Trey:...And that is the abridged history of our dear Akademeia and Class Zero.,Trey, ...And that is the abridged history of our dear Akademeia and Class Zero.,12
Cait Sith:I get it now...,Cait Sith, I get it now...,3
"Vivi:Thank you for teaching us that, Mister Trey!",Vivi," Thank you for teaching us that, Mister Trey!",7
Trey:It was my pleasure. Thank you for listening!,Trey, It was my pleasure. Thank you for listening!,7
"Cater:Wow, someone actually listened until the end... I guess there's a first time for everything.",Cater," Wow, someone actually listened until the end... I guess there's a first time for everything.",14
